START_TARGETS
TARGET_TYPE,TARGET_TYPE_AS_TEXT,TARGET_LIST_NUMBER,TARGET_ID,TARGET_DCID,PART_NUMBER,LABEL,TIME_DATA,UP_DELAY,DOWN_TIME,DOWN_DELAY,FOCUS_TIME,FOCUS_DELAY,COLOR_TIME,COLOR_DELAY,BEAM_TIME,BEAM_DELAY,DURATION,MARK,BLOCK,ASSERT,ALL_FADE,PREHEAT,FOLLOW,LINK,LOOP,CURVE,RATE,EXTERNAL_LINKS,EFFECTS,MODE,CUE_NOTES,SCENE_TEXT,SCENE_END
15,Cue_List,,1,C3D4A6D1-52C2-4C56-8555-8EBD8A0B698E,,Moving Light Test,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.1,DCE4E7DE-D6E1-4A3F-BA63-344B4BBFF745,,Moving Light Test,5,,,,,,,,,,5,,,,,,,,,,,,,,,Preshow,
1,Cue,1,0.2,0B257915-8628-48EF-93FD-3410ACCEF912,,Clear,5,,,,,,,,,,5,M,b,,,,,,,,,,,,,,
1,Cue,1,98,2FEA839E-824D-40BF-822F-EEB87026EC26,,Show Preset,5,,,,,,,,,,5,,b,,,,,,,,,,,,,Preset,
1,Cue,1,99,7EC44F2B-1ACC-4EBF-A939-31DBB2362B2A,,Speech,5,,,,,,,,,,5,,b,,,,,,,,,,,,,,
1,Cue,1,100,B1E316B2-5D0F-40B2-9513-A0C6AAD1A6EA,,Blackout,5,,,,,,,,,,5,M,,,,,,,,,,,,,,,
1,Cue,1,101,E0FE7161-E4DF-43EA-ACDF-7115D708917B,,,5,,,,,,,,,,5,M,,,,,,,,,,,,,,,
1,Cue,1,102,D13AEF21-B925-49D2-888F-328985537DD6,,,5,,,,,,,,,,5,M,b,,,,,,,,,,,,,,
1,Cue,1,103,10DDF45D-2042-4FF6-898B-F4D31BE41C66,,,3,,,,,,,,,,6,M,b,,,,,,,,,,,,,,
1,Cue,1,104,DEAA197B-7730-4E8B-8060-864F262AFB05,,,3,,,,,,,,,,3,M,b,,,,,,,,,,,,,,
1,Cue,1,105,B06F0F40-79D4-4382-963B-8FEC10E954D5,,,3,,,,,,,,,,6,M,,,,,,,,,,,,,,,
1,Cue,1,106,56CF8D78-3194-4D9C-90C3-19EF05350858,,,3,,,,,,,,,,3,,,,,,,,,,,,,,,,
1,Cue,1,107,697ABDA0-AA32-4192-A736-93DD554B772D,,,,,,,,,,,,,2,M,,,,,F6,,,,,,,,,,
1,Cue,1,107,697ABDA0-AA32-4192-A736-93DD554B772D,1,,1,,,,,,,,,,2,M,,,,,,,,,,,,,,,
1,Cue,1,107,697ABDA0-AA32-4192-A736-93DD554B772D,2,,3,1,,,,,,,,,0,,b,,,,,,,,,,,,,,
1,Cue,1,108,B70C9170-54B7-4EE1-8AD4-EBB49D46DD55,,,3,,,,,,,,,,3,M,,,,,,,,,,,,,,,
1,Cue,1,109,75686839-4D41-4976-993A-97200BC1E326,,,3,,,,,,,,,,3,M,,,,,,,,,,,,,,,
1,Cue,1,110,C2B0AF4E-0CF7-44AE-94EF-F7416C1F9DBC,,,3,,,,,,,,,,6,M,,,,,,,,,,,,,,,
1,Cue,1,111,68835892-B9DC-44D2-98A4-C7DC3A254213,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,
1,Cue,1,112,BE363344-9FDF-4897-ABC8-2AC743C93044,,,3,,,,,,,,,,3,,b,,,,,,,,,,,,,,
