START_TARGETS
TARGET_TYPE,TARGET_TYPE_AS_TEXT,TARGET_LIST_NUMBER,TARGET_ID,TARGET_DCID,PART_NUMBER,LABEL,TIME_DATA,UP_DELAY,DOWN_TIME,DOWN_DELAY,FOCUS_TIME,FOCUS_DELAY,COLOR_TIME,COLOR_DELAY,BEAM_TIME,BEAM_DELAY,DURATION,MARK,BLOCK,ASSERT,ALL_FADE,PREHEAT,FOLLOW,LINK,LOOP,CURVE,RATE,EXTERNAL_LINKS,EFFECTS,MODE,CUE_NOTES,SCENE_TEXT,SCENE_END
15,Cue_List,,1,A7D30FDC-40E6-491A-8983-F6C69C2ED9FA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.1,6613C071-F659-41EA-B348-FBFB5385CECA,,,3,,,,,,,,,,3,,,,,,,,,,,,,,,Festival Welcome,
1,Cue,1,0.2,9FC81F7B-DB11-4158-B665-5C2F0856EA4C,,,3,,,,,,,,,,3,,,,,,,,,,,,,,,,
1,Cue,1,0.3,3BDA3914-F0BA-4D2B-9F01-E9FD17313090,,,3,,,,,,,,,,3,,,,,,,,,,,,,,,,
1,Cue,1,0.4,678926BB-1E6D-437C-85FB-25535A8B1A1D,,,3,,,,,,,,,,3,,,,,,,,,,,,,,,,
1,Cue,1,0.5,5747CFB7-2BDD-47A9-99A1-F59D0BB647A8,,,3,,,,,,,,,,3,M,,,,,,,,,,,,,,,Scene_End
1,Cue,1,1,C62C886D-01FF-43B4-9915-A785305AAC42,,Fix Spots for Narrators,7,,,,,,,,,,7,M,,,,,F9,,,,,,,,,Opening,
1,Cue,1,2,67913D17-BDD1-4565-B415-ABCAE063CC81,,---Follow---,5,,,,,,,,,,5,,,,,,,,,,,,E1 ,,,,
1,Cue,1,3,FCD99841-619B-4B62-913A-319E18CEDFA4,,Singing Builds,2,,,,,,,,,,2,M,,,,,,,,,,,,,,,
1,Cue,1,4,95919596-54DC-4FFE-86AE-0B87D9A675AF,,---Audio Cue---,0,,,,,,,,,,0,M,,,,,F0.2,,,,,,,,,,
1,Cue,1,5,16F9C64A-74DD-4C35-830F-F5CE3A42F665,,---Follow---,5,,,,,,,,,,10,M,,,,,,,,,,,E2 4 ,,,,
1,Cue,1,6,54075B4E-709D-4DC7-9A90-7B84F7E0AA26,,---Audio Cue---,0,,,,,,,,,,0,M,b,,,,F4,,,,,,,,,Prologue: Starry Night Sky,
1,Cue,1,7,0D1499E9-BC25-4238-9ECF-9016A5E0A503,,---Follow---,2,2,3,,3,0,3,0,3,0,4,M,,,,,,,,,,,,,,,
1,Cue,1,8,A7851ACC-7891-4F73-99F7-0EBE49749837,,Characters spread out on stage,5,,2,,,,,,,,5,,b,,,,,,,,,,,,,,
1,Cue,1,9,DB941EBA-8969-44CE-80DB-F375EE80807D,,Transition,0,,,,,,,,,,0,M,b,,,,,,,,,,,,,,
1,Cue,1,10,B8DA53F0-DF1F-46B6-8113-D2759008BD27,,R + J DSR,5,,,,,,,,,,5,M,,,,,,,,,,,,,,Scene 1a: Daedalus and his Mother,
1,Cue,1,11,A52CEE77-8431-4330-A0B7-79D6DB31DFF2,,R Moves center,5,,,,,,,,,,5,,,,,,,,,,,,,,,,
1,Cue,1,12,BEBF3D8C-DDCD-49F2-A95A-3FCA42191A56,,,5,,,,,,,,,,5,M,b,,,,,,,,,,,,,Scene 1b: Daedalus Growing Up,
1,Cue,1,13,23EFE0D5-1477-48EB-BD88-9E6A6ED7CD6F,,"""His buildings were constructed... """,0,,,,,,,,,,0,M,,,,,F3,,,,,,,,,,
1,Cue,1,14,3EA9F112-AEBF-40BB-B64A-18C61A57E534,,---Visual Cue---,4,,,,,,,,,,4,,,,,,,,,,,,,,,Scene 2: The Tower PART 1,
1,Cue,1,15,BFE768B4-77DC-4EC1-8A92-8BD5B11AFE21,,Talons entrance,3,,,,,,,,,,3,,,,,,,,,,,,,,,,
1,Cue,1,16,5ABC442D-B0C9-4660-BB50-FE22C0DB5B0B,,Whats the matter unlce,2,,2,2,,,,,,,6,M,b,,,,,,,,,,,,,,
1,Cue,1,17,E8D41169-B2D8-4504-ADEC-6F3FC0BC894E,,"FALL, Wait til bryant hits hands",2,1,0,,0,0,0,0,0,0,3,M,,,,,,,,,,,,,,,
1,Cue,1,18,999F7D6B-3314-4550-9612-7B5E77E29282,,---Follow---,3,,,,,,,,,,3,M,,,,,F4,,,,,,,,,,
1,Cue,1,19,8BBB1997-14FF-42C3-9527-26A995DB1075,,Boat,5,,,,,,,,,,5,,b,,,,,,,,,,,,,,
1,Cue,1,20,30C482AB-DFD6-42CE-B4E6-4944401B06C4,,Transition out of boat,1,,,,,,,,,,2,M,b,,,,,,,,,,,,,Scene 3: Enter Poseidon,
1,Cue,1,21,F0BAF5B9-7BFA-4B8C-B377-2E31F3670A44,,Izzy Screams,0,,,,,,,,,,0,,,,,,,,,,,,,,,,
1,Cue,1,21.1,21E7E39C-F43C-4846-A330-FDFD33FC3083,,,0,,,,,,,,,,0,,b,,,,F0.1,,,,,,E5 ,,,,
1,Cue,1,21.2,34E52D31-2422-4E3F-BF22-353FA4883674,,,0,,,,,,,,,,0,M,b,,,,F0.1,,,,,,E5 ,,,,
1,Cue,1,22,B63126DF-16A3-4B99-8A4C-C9C42C3AC262,,Fireball Freeze,0,,,,,,,,,,0,M,b,,,,,,,,,,,,,,
1,Cue,1,23,DD9613FE-8812-4D45-B2BC-B9BEF539D228,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,
1,Cue,1,24,68B5B320-B94C-4025-A224-7AB29C71BEA5,,,0,,,,,,,,,,0,,b,,,,,,,,,,,,,,
1,Cue,1,24.1,0F5B789E-7F6B-4B95-ADFA-B39BBE8AB095,,,0,,,,,,,,,,0,,,,,,,,,,,,E5 ,,,,
1,Cue,1,25,73FEA7BF-04CD-42F8-B449-58771CDA9CFC,,---Follow---,0,,,,,,,,,,0,M,,,,,F2,,,,,,,,,,
1,Cue,1,26,64D1AE00-26B5-42C5-996F-2AFC0952FD6F,,,5,,,,,,,,,,5,M,b,,,,,,,,,,,,,,
1,Cue,1,27,9C97D8D1-27B1-4BF7-8E45-372AFC1A60B3,,Heart Beat,0,,,,,,,,,,0,,,,,,,,,,,,,,,,
1,Cue,1,28,678E4AAA-03DE-4330-9B9F-8401EE439594,,,,,,,,,,,,,6,M,,,,,F6,,,,,,E3 ,,,,
1,Cue,1,28,678E4AAA-03DE-4330-9B9F-8401EE439594,1,,0,,,,,,,,,,0,M,,,,,,,,,,,,,,,
1,Cue,1,28,678E4AAA-03DE-4330-9B9F-8401EE439594,2,,3,3,,,,,,,,,6,,,,,,,,,,,,,,,,
1,Cue,1,29,DD77CE55-770A-4E11-8987-66A11E4BCE20,,Fix Focus for posideon,5,,,,,,,,,,5,,,,,,F3,,,,,,E3 ,,,,
1,Cue,1,30,9C2530D5-D2F6-4AB7-ABB2-8DFFDC377CDE,,,3,,,,,,,,,,3,,,,,,,,,,,,E3 ,,,,
1,Cue,1,31,51842C3C-37DA-423D-B9F8-8C38E06E9F84,,,2,,,,,,,,,,2,,b,,,,,,,,,,E3 ,,,,
1,Cue,1,32,DB4E1B22-62A7-499B-8041-3F6B40EA4C84,,,4,,0,,,,,,,,4,M,,,,,F4,,,,,,,,,Scene 5,
1,Cue,1,33,9EE33ECF-B1A5-4A0D-90A4-3DED6D831814,,Bull Box in,1,,,,,,,,,,1,M,,,,,,,,,,,,,,,
1,Cue,1,33.1,F490D419-1F2C-4FE0-B5FB-AE1F9FF497AB,,---Audio Cue---,0,,,,,,,,,,0,,,,,,F1,,,,,,,,,,
1,Cue,1,34,C9D1546D-0C3B-4246-9C59-D38453EE11E0,,Izzy goes to bull box,3,,,,,,,,,,3,,b,,,,,,,,,,,,,,
1,Cue,1,34.1,C8F6ADF9-72F6-4357-950C-A6459D2D6FC3,,Firecracker,0,,,,,,,,,,0,,,,,,,,,,,,E5 ,,,,
1,Cue,1,34.2,12A3459E-37EE-4595-AF6D-79B6AC5B8B9F,,---Visual Cue---,5,,,,,,,,,,5,M,,,,,,,,,,,E5 ,,,,
1,Cue,1,35,91B567ED-774B-4C59-A6B0-71BC7861C501,,Robby and Anna Mid,3,,,,,,,,,,6,M,b,,,,,,,,,,,,,,
1,Cue,1,36,4D325818-5830-404B-ADC5-99120D5707B4,,Icarus comes in,3,,,,,,,,,,3,M,,,,,,,,,,,,,,Scene 4: Birth and Demise,
1,Cue,1,36.1,333BD3D9-8C6C-4783-B8AB-02FA6CC03561,,,1,,,,,,,,,,1,M,,,,,,,,,,,,,,,
1,Cue,1,37,0F912168-D73C-4971-B390-91A0D54C9111,,,,,,,,,,,,,4,M,b,,,,F5,,,,,,,,,,
1,Cue,1,37,0F912168-D73C-4971-B390-91A0D54C9111,1,Mintour Entrance,0,,,,,,,,,,0,M,b,,,,,,,,,,,,,,
1,Cue,1,37,0F912168-D73C-4971-B390-91A0D54C9111,2,,3,1,,,,,,,,,4,,,,,,,,,,,,,,,,
1,Cue,1,38,42F8698A-6F05-4356-982F-0B83096E0770,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,
1,Cue,1,38,42F8698A-6F05-4356-982F-0B83096E0770,1,---Follow---,2,,,,,,,,,,2,,,,,,,,,,,,,,,,
1,Cue,1,38,42F8698A-6F05-4356-982F-0B83096E0770,2,,8,2,,,,,,,,,10,,,,,,,,,,,,,,,,
1,Cue,1,39,55FBF7F9-56FE-4073-8FA5-1F5AB129666E,,Minotaur eats anna,0,,,,,,,,,,0,M,,,,,,,,,,,E6 ,,,,
1,Cue,1,40,52BBCF0C-D1D1-41B2-8184-1B51785E7649,,,0,,,,,,,,,,0,M,b,,,,,,,,,,,,,,
1,Cue,1,41,7F5BE402-3831-4F42-8741-A6A4DAEBDD70,,,5,,,,,,,,,,5,M,b,,,,,,,,,,,,,,
1,Cue,1,41.1,DA94D26D-C9EA-4C8F-B9A4-5C730A0A8A26,,,3,,,,,,,,,,3,,b,,,,,,,,,,,,,,
1,Cue,1,41.2,212FB7AC-B5DE-49D6-9BBA-31A61BE059B2,,,1,,,,,,,,,,1,,b,,,,F1,,,,,,,,,,
1,Cue,1,42,808B04F4-1A53-45FE-822D-65A7E68CD0A8,,,2,,0,0,,,,,,,2,,b,,,,,,,,,,,,,Scene 5: Talks of the Labryinth,
1,Cue,1,43,B71E1850-5F53-466E-9F53-F540CBC1F423,,Will,0,,,,,,,,,,0,,b,,,,,,,,,,,,,,
1,Cue,1,44,4C00E8AF-5B0A-4D4D-98C7-869E43A2A768,,Jenna,0,,,,,,,,,,0,M,,,,,,,,,,,,,,,
1,Cue,1,45,39448AA8-A7DA-4F3E-86A2-C984BE2C9984,,,0,,,,,,,,,,0,M,b,,,,,,,,,,,,,,
1,Cue,1,46,2BBD466F-6650-42C3-9DCD-81C25D043D47,,Fix Focus for Deadulus,1,,,,,,,,,,1,,b,,,,,,,,,,,,,,
1,Cue,1,47,740C1931-F385-4911-A14C-A57563ACA174,,Jacob Goes Center then leaves,1,,,,,,,,,,1,M,b,,,,,,,,,,,,,,
1,Cue,1,48,644519B8-3562-4DA1-8079-D3EB0E248D69,,Garden Scene,1,,,,,,,,,,1,,b,,,,,,,,,,,,,Scene 6: Young Icarus,
1,Cue,1,48.1,C195680F-CD34-49B2-8D29-A7B16E0EDDF6,,---Visual Cue---,5,,,,,,,,,,5,M,,,,,,,,,,,,,,,
1,Cue,1,48.2,F49FCF6F-6037-47CD-B812-DE247E989F0A,,,1,,,,,,,,,,1,M,b,,,,,,,,,,,,,,
1,Cue,1,48.3,0515FBB6-2F33-4ABA-A514-ED0AA8DE907D,,,1,,,,,,,,,,2,M,,,,,,,,,,,,,,,
1,Cue,1,49,74C3D74E-D84A-4B96-93D3-A6A1264F558E,,Slaves Enter,3,,0,,,,,,,,3,,b,,,,,,,,,,,,,,
1,Cue,1,50,0974EDA7-8B74-44CF-BC58-4A637EF006EF,,---Death Sheet---,0,,,,,,,,,,0,M,b,,,,,,,,,,E6 ,,,,
1,Cue,1,50.1,7BCDCDE6-B9A4-4A15-8B0C-3F277236D72D,,,,,,,,,,,,,6,M,,,,,,,,,,,,,,,
1,Cue,1,50.1,7BCDCDE6-B9A4-4A15-8B0C-3F277236D72D,1,,2,,0,,,,,,,,2,M,,,,,,,,,,,,,,,
1,Cue,1,50.1,7BCDCDE6-B9A4-4A15-8B0C-3F277236D72D,2,,3,1,,,,,,,,,4,,,,,,,,,,,,,,,,
1,Cue,1,50.1,7BCDCDE6-B9A4-4A15-8B0C-3F277236D72D,3,,5,1,,,,,,,,,6,,,,,,,,,,,,,,,,
1,Cue,1,50.2,FC68C795-51C6-4774-850A-8B42CDA24749,,,1,,,,,,,,,,2,M,,,,,,,,,,,,,,,
1,Cue,1,50.3,E9E9A627-3859-4494-A7D6-49A10DD04DF8,,---Follow---,1,,,,,,,,,,1,M,,,,,F0.1,,,,,,,,,,
1,Cue,1,51,6E7F848F-508D-4C6C-9C54-617EF8F9DC0D,,Garden Scene,3,,,,,,,,,,3,,b,,,,F3,,,,,,,,,,
1,Cue,1,51.1,88C0905F-3ABC-4414-9664-27525DF9D02D,,,2:30,,,,,,,,,,2:30,,b,,,,,,,,,,,,,,
1,Cue,1,52,4852BA88-B1BA-43A5-A75F-D5612913C741,,Transition,1,,,,,,,,,,2,M,b,,,,,,,,,,,,,,
1,Cue,1,53,D0224A51-AF10-4CDA-A78A-754F5FCA9394,,Courtyard,3,,,,,,,,,,3,M,b,,,,,,,,,,,,,Scene 8: Minos' Speech,
1,Cue,1,54,C184A227-E90B-442E-8C5A-6F2C25384D76,,Slow Mo moment,0.5,,,,,,,,,,1,M,b,,,,,,,,,,,,,,
1,Cue,1,55,B656AFE5-D77D-427C-85D7-B756F3A69F5F,,---Restore---,2,,,,,,,,,,2,,b,,,,,,,,,,,,,,
1,Cue,1,56,68C48F4B-79FC-4D17-A401-76C713777F37,,,1,,,,,,,,,,1,M,,,,,,,,,,,,,,,
1,Cue,1,56.1,89B732C3-B629-4C41-8651-7A63F122DF3F,,,2,,,,,,,,,,2,,,,,,,,,,,,,,,Scene 9: The Second King,
1,Cue,1,56.2,BD2193C6-BEA1-4DCB-AB3D-DEFB217C31C2,,,3,,,,,,,,,,3,M,,,,,,,,,,,,,,,
1,Cue,1,57,0A067F80-C3E4-45DF-8B2B-1BFD0A7A7B66,,Boat,5,,1,,,,,,,,5,,b,,,,,,,,,,E1 ,,,,
1,Cue,1,57.1,EA106150-BC82-4DC1-9AED-D046C2D6C92A,,Transition,1,,,,,,,,,,1,M,,,,,,,,,,,,,,,
1,Cue,1,58,52B25A21-3532-48C6-9A81-D09CC314B105,,Garden Scene,1,,,,,,,,,,1,M,b,,,,,,,,,,,,,Scene 10: Ready the Provisions,
1,Cue,1,59,D8392716-B4BE-40CE-9F85-DC85CF683F38,,Robbie + Sam Scene,1,1,0,0,0,0,0,0,0,0,2,,b,,,,,,,,,,,,,Scene 11: Counting Stars,
1,Cue,1,60,53FD56A9-794D-40FF-8AC5-74D0933186E3,,Jenna and Will Scene,6,2,0,,7,0,7,0,7,0,9,M,b,,,,,,,,,,,,,Scene 12: Ariadne's Betrayal,
1,Cue,1,61,8AB5D9BE-4FFD-4C76-99EE-41A4DAB0A544,,Back to Robbie,5,1,0,,1,0,1,0,1,0,6,M,b,,,,,,,,,,,,,Scene 13: Slaying the Minotaur,
1,Cue,1,62,2CF283A9-9687-4028-A529-1CBED0DBB12F,,,1,,,,,,,,,,1,M,,,,,,,,,,,,,,,
1,Cue,1,63,0242FDE8-09DC-4434-B515-79FF2102589C,,,2,,5,,5,,5,,5,,10,M,b,,,,,,,,,,,,,,
1,Cue,1,64,1985C5B6-AD3D-4610-8378-BBD9B3F59226,,,3,2,1,0,5,,5,,5,,7,,,,,,,,,,,,,,,,
1,Cue,1,65,6FFFA5F2-D441-48D6-B995-EBB72242F583,,---Follow---,0,,,,,,,,,,0,,b,,,,F1,,,,,,,,,,
1,Cue,1,66,2EAA15A2-0513-44B2-AC04-4A50B8BD17D3,,---Death Sheet---,2,,,,,,,,,,2,M,,,,,,,,,,,E6 ,,,,
1,Cue,1,66.5,4F2A65FD-3C51-48DC-B47C-23C76A7ECBA6,,,1,,,,,,,,,,1,M,,,,,,,,,,,E6 ,,,,
1,Cue,1,67,FCB2AB4D-A124-4749-A7C9-D55BCA10E07B,,,2,1,0,0,5,0,5,0,5,0,5,M,,,,,,,,,,,,,,,
